cog.000001	1.6325e+00	1197	1954.1025
cog.000002	1.1123e+00	2280	2536.044
cog.000003	4.4519e+00	1209	5382.3471
cog.000004	3.1530e-02	1212	38.21436
cog.000005	2.3677e+00	1074	2542.9098
cog.000006	3.8842e-01	1740	675.8508
cog.000007	3.8472e-01	1176	452.43072
cog.000008	8.2741e-01	1191	985.44531
cog.000009	2.1770e+00	1140	2481.78
cog.000010	2.2529e+00	957	2156.0253
cog.000011	2.7460e+00	705	1935.93
cog.000012	2.4555e-01	594	145.8567
cog.000013	1.6819e+00	1998	3360.4362
cog.000014	2.0610e+00	876	1805.436
cog.000015	2.0108e+00	1038	2087.2104
cog.000016	2.2349e+00	1908	4264.1892
cog.000017	3.2920e-01	852	280.4784
cog.000018	1.9677e+00	2049	4031.8173
cog.000019	2.1209e+00	861	1826.0949
cog.000020	7.0694e-01	534	377.50596
cog.000021	8.8678e-01	1398	1239.71844
cog.000022	4.6603e-01	1626	757.76478
cog.000023	4.1963e-01	1836	770.44068
cog.000024	6.9448e-01	360	250.0128
cog.000025	1.2292e+00	1815	2230.998
cog.000026	5.6373e-01	192	108.23616
cog.000027	8.5351e-01	633	540.27183
cog.000028	4.0458e-01	789	319.21362
cog.000029	4.0432e-01	777	314.15664
cog.000030	1.3091e+00	750	981.825
cog.000031	9.1539e-01	819	749.70441
cog.000032	7.6029e-01	1740	1322.9046
cog.000033	6.1363e-01	1773	1087.96599
cog.000034	5.4370e-01	1842	1001.4954
cog.000035	6.3071e-01	1599	1008.50529
cog.000036	9.8170e-01	1140	1119.138
cog.000037	6.8122e-01	1674	1140.36228
cog.000038	6.9691e-01	1611	1122.72201
cog.000039	4.2920e-01	1404	602.5968
cog.000040	5.9354e-01	708	420.22632
cog.000041	7.2972e-01	777	566.99244
cog.000042	3.7364e-01	687	256.69068
cog.000043	3.7074e-01	678	251.36172
cog.000044	3.0203e-01	705	212.93115
cog.000045	1.1192e+00	705	789.036
cog.000046	2.9493e-01	759	223.85187
cog.000047	4.5221e-01	885	400.20585
cog.000048	6.7932e-01	768	521.71776
cog.000049	6.5125e-01	714	464.9925
cog.000050	8.4832e-01	795	674.4144
cog.000051	3.6125e-01	1338	483.3525
cog.000052	3.8241e-01	1434	548.37594
cog.000053	3.9359e-01	1416	557.32344
cog.000054	3.3263e-01	1191	396.16233
cog.000055	3.6386e-01	1167	424.62462
cog.000056	3.8151e-01	798	304.44498
cog.000057	5.3761e-01	861	462.88221
cog.000058	1.2723e+00	864	1099.2672
cog.000059	4.6806e-01	1281	599.58486
cog.000060	7.6895e-01	1230	945.8085
cog.000061	8.9720e-01	834	748.2648
cog.000062	5.2842e-01	1008	532.64736
cog.000063	5.2009e-01	1236	642.83124
cog.000064	5.1471e-01	1251	643.90221
cog.000065	4.0073e-01	1362	545.79426
cog.000066	2.4722e-01	1314	324.84708
cog.000067	5.3357e-01	1206	643.48542
cog.000068	3.2318e-01	1227	396.54186
cog.000069	6.5697e-01	1998	1312.62606
cog.000070	3.8467e-01	1629	626.62743
cog.000071	5.5648e-01	1842	1025.03616
cog.000072	2.7997e-01	1668	466.98996
cog.000073	8.8481e-01	1029	910.46949
cog.000074	6.1365e-01	1416	868.9284
cog.000075	7.6816e-01	1446	1110.75936
cog.000076	8.3795e-01	1059	887.38905
cog.000077	4.6934e-01	1491	699.78594
cog.000078	6.9282e-01	1341	929.07162
cog.000079	6.2153e-01	1401	870.76353
cog.000080	5.1755e-01	1341	694.03455
cog.000081	2.6338e-01	618	162.76884
cog.000082	4.2894e-01	1134	486.41796
cog.000083	3.2644e-01	1113	363.32772
cog.000084	6.5717e-01	1311	861.54987
cog.000085	6.7797e-01	1332	903.05604
cog.000086	7.1380e-01	1167	833.0046
cog.000087	7.3879e-01	2403	1775.31237
cog.000088	4.8462e-01	786	380.91132
cog.000089	4.2498e-01	762	323.83476
cog.000090	5.8699e-01	1368	803.00232
cog.000091	5.2993e-01	2193	1162.13649
cog.000092	6.1130e-01	2646	1617.4998
cog.000093	4.8705e-01	2316	1128.0078
cog.000094	6.8651e-01	2340	1606.4334
cog.000095	7.2389e-01	1467	1061.94663
cog.000096	2.9858e-01	1431	427.26798
cog.000097	1.1014e+00	1374	1513.3236
cog.000098	4.6669e-01	1146	534.82674
cog.000099	6.1432e-01	1242	762.98544
cog.000100	6.1509e-01	1014	623.70126
cog.000101	6.7099e-01	1128	756.87672
cog.000102	9.4572e-01	1137	1075.28364
cog.000103	5.8849e-01	879	517.28271
cog.000104	6.5921e-01	798	526.04958
cog.000105	4.2969e-01	1599	687.07431
cog.000106	7.1168e-01	1500	1067.52
cog.000107	8.0458e-01	1239	996.87462
cog.000108	5.6059e-01	1095	613.84605
cog.000109	7.7637e-01	1350	1048.0995
cog.000110	5.6876e-01	345	196.2222
cog.000111	4.9285e-01	384	189.2544
cog.000112	7.2778e-01	2478	1803.43884
cog.000113	8.3592e-01	1092	912.82464
cog.000114	7.1985e-01	915	658.66275
cog.000115	5.5611e-01	1518	844.17498
cog.000116	4.7883e-01	1449	693.82467
cog.000117	5.9797e-01	660	394.6602
cog.000118	5.8825e-01	642	377.6565
cog.000119	4.0527e-01	2850	1155.0195
cog.000120	3.2370e-01	3564	1153.6668
cog.000121	6.6503e-01	3543	2356.20129
cog.000122	8.1233e-01	1011	821.26563
