GCF_000211375.1	4	2588309	2419	44.23	Lentilactobacillus_buchneri_NRRL_B-30929	1581	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus buchneri
GCF_008369805.1	4	2583542	2427	44.32	Lentilactobacillus_buchneri_MGB0786	1581	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus buchneri
GCF_018314255.1	2	2537205	2351	44.43	Lentilactobacillus_buchneri_ATCC_4005	1581	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus buchneri
GCF_000298115.2	4	2563168	2387	44.21	Lentilactobacillus_buchneri_sub_silagei_CD034	1581	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus buchneri
GCF_033096565.1	1	2540137	2346	44.34	Lentilactobacillus_buchneri_sub_silagei_MGR2-32	1581	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus buchneri
GCF_009739535.1	2	2489034	2296	41.90	Lentilactobacillus_kefiri_DH5	33962	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus kefiri
GCF_022810745.1	4	2488630	2281	41.84	Lentilactobacillus_kefiri_Fanghua	33962	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus kefiri
GCF_014905035.1	4	2611860	2359	43.57	Lentilactobacillus_parabuchneri_NSMJ16	152331	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus parabuchneri
GCF_014879295.1	1	2530379	2277	43.64	Lentilactobacillus_parabuchneri_KEM	152331	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus parabuchneri
GCF_001922025.1	3	2726576	2487	43.44	Lentilactobacillus_parabuchneri_FAM21731	152331	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus parabuchneri
